TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE
Condo for sale,315000,2,2,1400,40.761255,-73.974483
House for sale,260000,4,2,2015,40.541805,-74.196109
House for sale,690000,5,2,4004,40.674363,-73.958725
Co-op for sale,265000,1,1,750,40.821586,-73.874089
Co-op for sale,440000,2,1,978,40.615738,-73.969694
Co-op for sale,375000,2,1,850,40.82487,-73.922983
Townhouse for sale,689000,3,2,1162,40.624996,-74.155306
Condo for sale,549000,2,2,1000,40.540621,-74.167163
Townhouse for sale,975000,3,2,1734,40.760768,-73.905667
Co-op for sale,199000,3,1,325,40.618103,-74.036905
Co-op for sale,350000,1,1,700,40.90737,-73.906558
Condo for sale,599000,2,2,974,40.732471,-73.86708
House for sale,639999,3,2,1260,40.62074,-74.111436
Condo for sale,1300000,2,2,1244,40.720243,-73.843051
Multi-family home for sale,1100000,6,3,2837,40.834394,-73.82211
Condo for sale,349900,1,1,651,40.590206,-74.095803
House for sale,750000,2,2,1330,40.503979,-74.239656
Multi-family home for sale,1690000,6,4,2200,40.710749,-73.809486
Multi-family home for sale,1299888,10,6,3156,40.615567,-74.086955
Multi-family home for sale,925000,5,2,2750,40.824239,-73.817381
Condo for sale,329000,1,2,794,40.62104,-74.150431
Multi-family home for sale,1300000,10,8,5040,40.627438,-74.158161
Multi-family home for sale,848000,5,4,2080,40.661548,-73.898309
Co-op for sale,279000,1,1,750,40.617917,-73.954631
Condo for sale,528000,1,1,602,40.62759,-74.00162
Multi-family home for sale,1299888,11,4,3156,40.615567,-74.086955
Condo for sale,1165000,1,1,815,40.711969,-73.964947
Multi-family home for sale,1199000,6,5,3290,40.515926,-74.236114
Multi-family home for sale,700000,6,2,3053,40.852813,-73.917687
Multi-family home for sale,2150000,8,4,3200,40.614446,-73.979582
Multi-family home for sale,1280000,7,5,2460,40.688312,-73.856322
Multi-family home for sale,699000,4,3,1591,40.68475,-73.802733
Co-op for sale,4250000,3,2,2400,40.725464,-73.999921
Condo for sale,329000,2,1,837,40.631535,-74.085634
Multi-family home for sale,889000,2,2,1520,40.623319,-74.125992
Multi-family home for sale,1200000,4,2,2536,40.604286,-74.001253
Co-op for sale,220500,2,1,900,40.648149,-74.084798
Multi-family home for sale,1999000,3,3,2739,40.628169,-74.02976
Co-op for sale,3250000,2,2,1300,40.719972,-73.998027
Condo for sale,1650000,2,2,1267,40.68661,-73.999713
Multi-family home for sale,1049000,4,4,2554,40.501623,-74.241753
House for sale,998800,3,4,2400,40.6175,-74.103996
House for sale,998800,3,4,2400,40.618648,-74.101909
Co-op for sale,559500,1,1,800,40.575194,-73.966998
Co-op for sale,750000,1,1,835,40.764371,-73.959358
Condo for sale,1900000,2,2,1029,40.719341,-73.985644
Condo for sale,1250000,2,2,1201,40.640023,-73.96761
Condo for sale,1395000,2,2,1182,40.678779,-73.964373
Multi-family home for sale,1489000,6,2,3780,40.539532,-74.145088
Condo for sale,1595000,3,3,1413,40.691514,-73.935444
Condo for sale,655000,3,2,803,40.696727,-73.907404
Condo for sale,1175000,2,2,1115,40.691514,-73.935444
Multi-family home for sale,2880000,9,2,2350,40.783209,-73.796759
Multi-family home for sale,798000,3,4,2150,40.587484,-74.070106
Condo for sale,1650000,2,2,1065,40.783355,-73.949998
Condo for sale,1650000,2,2,1065,40.783355,-73.949998
Condo for sale,5750000,3,2,2223,40.736608,-73.982282
House for sale,585000,3,2,1100,40.578426,-74.105437
House for sale,595000,3,1,1316,40.623915,-73.929123
Condo for sale,215000,1,1,625,40.726773,-74.002538
House for sale,314000,3,1,1572,40.636237,-73.939679
Condo for sale,395000,5,1,1000,40.77004,-73.963887
Multi-family home for sale,790000,6,3,2520,40.610586,-74.126818
Co-op for sale,539000,2,2,1100,40.617073,-74.038384
Co-op for sale,1295000,4,2,1995,40.880987,-73.922434
House for sale,400000,7,3,2385,40.896915,-73.865498
